2L	9838	21376	ID=gene:FBgn0002121	0	0	11538	0.0000000
2L	21822	25155	ID=gene:FBgn0031209	0	0	3333	0.0000000
2L	25401	65404	ID=gene:FBgn0051973	0	0	40003	0.0000000
2L	66481	71390	ID=gene:FBgn0067779	1	2882	4909	0.5870849
2L	71756	76211	ID=gene:FBgn0031213	1	2406	4455	0.5400673
2L	76347	77783	ID=gene:FBgn0031214	0	0	1436	0.0000000
2L	82420	87387	ID=gene:FBgn0002931	1	1184	4967	0.2383733
2L	94738	102086	ID=gene:FBgn0031216	2	1913	7348	0.2603430
2L	102379	104142	ID=gene:FBgn0031217	1	1763	1763	1.0000000
2L	103961	106732	ID=gene:FBgn0026787	1	2771	2771	1.0000000
2L	106902	114432	ID=gene:FBgn0005278	2	2904	7530	0.3856574
2L	114725	156030	ID=gene:FBgn0031228	4	14810	41305	0.3585522
2L	115364	116488	ID=gene:FBgn0031219	0	0	1124	0.0000000
2L	116969	121754	ID=gene:FBgn0031220	0	0	4785	0.0000000
2L	122623	130791	ID=gene:FBgn0288229	1	2646	8168	0.3239471
2L	132076	134472	ID=gene:FBgn0001142	1	2190	2396	0.9140234
2L	138383	140992	ID=gene:FBgn0051976	0	0	2609	0.0000000
2L	138383	140992	ID=gene:FBgn0051975	0	0	2609	0.0000000
2L	141076	143091	ID=gene:FBgn0051974	1	1414	2015	0.7017370
2L	143322	144227	ID=gene:FBgn0031224	1	905	905	1.0000000
2L	144230	153300	ID=gene:FBgn0259818	2	4439	9070	0.4894156
2L	153538	155305	ID=gene:FBgn0031227	1	1767	1767	1.0000000
2L	156028	157666	ID=gene:FBgn0031229	1	1638	1638	1.0000000
2L	157835	158664	ID=gene:FBgn0053635	1	829	829	1.0000000
2L	159031	203397	ID=gene:FBgn0016977	3	4859	44366	0.1095208
2L	203778	204782	ID=gene:FBgn0031231	1	1004	1004	1.0000000
2L	204742	207297	ID=gene:FBgn0031232	2	1847	2555	0.7228963
2L	207178	210725	ID=gene:FBgn0031233	1	2923	3547	0.8240767
2L	210734	250823	ID=gene:FBgn0266557	2	4641	40089	0.1157674
2L	232486	234208	ID=gene:FBgn0031235	0	0	1722	0.0000000
2L	251038	252373	ID=gene:FBgn0283652	1	1335	1335	1.0000000
2L	252588	271744	ID=gene:FBgn0031238	2	4581	19156	0.2391418
2L	259948	267505	ID=gene:FBgn0031239	0	0	7557	0.0000000
2L	269087	271626	ID=gene:FBgn0031240	1	2539	2539	1.0000000
2L	271911	273715	ID=gene:FBgn0086912	1	1804	1804	1.0000000
2L	273835	274766	ID=gene:FBgn0086856	1	931	931	1.0000000
2L	274739	278234	ID=gene:FBgn0086855	1	3495	3495	1.0000000
2L	277581	282167	ID=gene:FBgn0003444	1	4586	4586	1.0000000
2L	281669	283269	ID=gene:FBgn0031244	1	1600	1600	1.0000000
2L	283384	291795	ID=gene:FBgn0031245	2	4018	8411	0.4777078
2L	287251	289144	ID=gene:FBgn0025686	1	6	1893	0.0031696
2L	292418	293222	ID=gene:FBgn0031247	1	804	804	1.0000000
2L	292958	294681	ID=gene:FBgn0017457	1	1723	1723	1.0000000
2L	295121	297449	ID=gene:FBgn0024352	1	2328	2328	1.0000000
2L	297879	305233	ID=gene:FBgn0020622	1	2618	7354	0.3559967
2L	305934	355566	ID=gene:FBgn0004611	1	1868	49632	0.0376370
2L	318361	319259	ID=gene:FBgn0031248	0	0	898	0.0000000
2L	320278	321248	ID=gene:FBgn0031249	0	0	970	0.0000000
2L	322100	323091	ID=gene:FBgn0053127	0	0	991	0.0000000
2L	325521	329761	ID=gene:FBgn0264086	0	0	4240	0.0000000
2L	329909	332335	ID=gene:FBgn0051921	0	0	2426	0.0000000
2L	355564	357874	ID=gene:FBgn0031250	1	2265	2310	0.9805195
2L	378111	387439	ID=gene:FBgn0000061	0	0	9328	0.0000000
2L	396594	402198	ID=gene:FBgn0031251	0	0	5604	0.0000000
2L	404284	407969	ID=gene:FBgn0003278	1	3064	3685	0.8314790
2L	408029	414777	ID=gene:FBgn0264855	1	4222	6748	0.6256669
2L	415066	418536	ID=gene:FBgn0263933	1	3470	3470	1.0000000
2L	418433	419652	ID=gene:FBgn0031252	1	1219	1219	1.0000000
2L	419951	420864	ID=gene:FBgn0002593	1	913	913	1.0000000
2L	420894	421450	ID=gene:FBgn0031253	1	556	556	1.0000000
2L	421770	422489	ID=gene:FBgn0031254	1	672	719	0.9346314
2L	422872	425321	ID=gene:FBgn0031255	0	0	2449	0.0000000
2L	431226	448701	ID=gene:FBgn0004583	1	3597	17475	0.2058369
